onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
12.639	2.222	103	12639	olsa: list: 30 / sentence: 3	-2.8	95.0	olsa/sentences/39994.wav	Ulrich malt elf weisse Dosen.
15.961	2.268	110	15961	olsa: list: 30 / sentence: 10	-2.8	95.0	olsa/sentences/18502.wav	Kerstin nahm fuenf grosse Autos.
19.422	2.196	39	19422	olsa: list: 10 / sentence: 19	-8.4	40.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
22.791	2.565	116	22791	olsa: list: 30 / sentence: 16	-2.8	95.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
26.392	2.145	115	26392	olsa: list: 30 / sentence: 15	-2.8	95.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
29.597	2.097	117	29597	olsa: list: 30 / sentence: 17	-2.8	95.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
32.78	1.786	107	32780	olsa: list: 30 / sentence: 7	-2.8	95.0	olsa/sentences/26626.wav	Tanja hat zwei alte Messer.
35.754	2.287	101	35754	olsa: list: 30 / sentence: 1	-2.8	95.0	olsa/sentences/80338.wav	Doris bekommt acht nasse Steine.
39.053	2.039	43	39053	olsa: list: 14 / sentence: 3	-7.7	50.0	olsa/sentences/07970.wav	Peter gewann elf schoene Blumen.
42.235	2.196	59	42235	olsa: list: 14 / sentence: 19	-7.7	50.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
45.534	2.002	74	45534	olsa: list: 21 / sentence: 14	-7.0	60.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
48.577	2.008	82	48577	olsa: list: 25 / sentence: 2	-5.4	80.0	olsa/sentences/86800.wav	Doris hat zwoelf grosse Blumen.
51.667	2.097	97	51667	olsa: list: 25 / sentence: 17	-5.4	80.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
54.896	2.091	24	54896	olsa: list: 10 / sentence: 4	-8.4	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
58.056	2.05	58	58056	olsa: list: 14 / sentence: 18	-7.7	50.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
61.145	1.938	80	61145	olsa: list: 21 / sentence: 20	-7.0	60.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
64.142	2.522	42	64142	olsa: list: 14 / sentence: 2	-7.7	50.0	olsa/sentences/29744.wav	Tanja malt achtzehn schwere Dosen.
67.766	2.05	118	67766	olsa: list: 30 / sentence: 18	-2.8	95.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
70.903	2.565	56	70903	olsa: list: 14 / sentence: 16	-7.7	50.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
74.643	2.145	5	74643	olsa: list: 5 / sentence: 5	-10.0	20.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
77.849	2.192	62	77849	olsa: list: 21 / sentence: 2	-7.0	60.0	olsa/sentences/90013.wav	Nina bekommt drei kleine Bilder.
81.217	1.941	71	81217	olsa: list: 21 / sentence: 11	-7.0	60.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
84.307	2.05	38	84307	olsa: list: 10 / sentence: 18	-8.4	40.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
87.536	2.217	109	87536	olsa: list: 30 / sentence: 9	-2.8	95.0	olsa/sentences/05413.wav	Peter verleiht vier kleine Bilder.
90.881	2.565	96	90881	olsa: list: 25 / sentence: 16	-5.4	80.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
94.505	2.142	93	94505	olsa: list: 25 / sentence: 13	-5.4	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
97.851	2.441	26	97851	olsa: list: 10 / sentence: 6	-8.4	40.0	olsa/sentences/11755.wav	Kerstin sieht achtzehn gruene Sessel.
101.452	2.362	11	101452	olsa: list: 5 / sentence: 11	-10.0	20.0	olsa/sentences/61793.wav	Stefan sieht achtzehn weisse Bilder.
104.913	1.938	120	104913	olsa: list: 30 / sentence: 20	-2.8	95.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
107.956	2.002	34	107956	olsa: list: 10 / sentence: 14	-8.4	40.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
111.139	2.155	67	111139	olsa: list: 21 / sentence: 7	-7.0	60.0	olsa/sentences/23448.wav	Tanja gibt vier schwere Steine.
114.368	2.097	7	114368	olsa: list: 5 / sentence: 7	-10.0	20.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
117.644	2.235	20	117644	olsa: list: 5 / sentence: 20	-10.0	20.0	olsa/sentences/24621.wav	Tanja schenkt zwei alte Tassen.
120.919	2.193	48	120919	olsa: list: 14 / sentence: 8	-7.7	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
124.195	2.097	77	124195	olsa: list: 21 / sentence: 17	-7.0	60.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
127.424	2.002	94	127424	olsa: list: 25 / sentence: 14	-5.4	80.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
130.56	2.438	106	130560	olsa: list: 30 / sentence: 6	-2.8	95.0	olsa/sentences/72141.wav	Thomas kauft neun schwere Tassen.
134.022	2.766	83	134022	olsa: list: 25 / sentence: 3	-5.4	80.0	olsa/sentences/70762.wav	Thomas bekommt achtzehn teure Autos.
137.901	2.305	64	137901	olsa: list: 21 / sentence: 4	-7.0	60.0	olsa/sentences/02737.wav	Peter kauft achtzehn nasse Schuhe.
141.247	2.206	102	141247	olsa: list: 30 / sentence: 2	-2.8	95.0	olsa/sentences/43285.wav	Britta gibt sieben rote Sessel.
144.662	2.142	33	144662	olsa: list: 10 / sentence: 13	-8.4	40.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
147.914	2.196	99	147914	olsa: list: 25 / sentence: 19	-5.4	80.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
151.306	1.946	18	151306	olsa: list: 5 / sentence: 18	-10.0	20.0	olsa/sentences/76802.wav	Thomas hat zwoelf grosse Autos.
154.442	2.482	25	154442	olsa: list: 10 / sentence: 5	-8.4	40.0	olsa/sentences/54841.wav	Wolfgang schenkt zwoelf schwere Tassen.
158.089	2.578	70	158089	olsa: list: 21 / sentence: 10	-7.0	60.0	olsa/sentences/15952.wav	Kerstin verleiht elf gruene Autos.
161.69	1.832	89	161690	olsa: list: 25 / sentence: 9	-5.4	80.0	olsa/sentences/09216.wav	Peter malt sieben kleine Messer.
164.664	2.294	30	164664	olsa: list: 10 / sentence: 10	-8.4	40.0	olsa/sentences/45923.wav	Britta verleiht elf alte Bilder.
168.102	1.941	31	168102	olsa: list: 10 / sentence: 11	-8.4	40.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
171.215	2.392	12	171215	olsa: list: 5 / sentence: 12	-10.0	20.0	olsa/sentences/52277.wav	Wolfgang kauft sieben schoene Schuhe.
174.653	2.549	2	174653	olsa: list: 5 / sentence: 2	-10.0	20.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
178.417	2.145	35	178417	olsa: list: 10 / sentence: 15	-8.4	40.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
181.599	1.938	10	181599	olsa: list: 5 / sentence: 10	-10.0	20.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
184.712	2.292	46	184712	olsa: list: 14 / sentence: 6	-7.7	50.0	olsa/sentences/51417.wav	Wolfgang sieht vier kleine Schuhe.
188.081	2.043	50	188081	olsa: list: 14 / sentence: 10	-7.7	50.0	olsa/sentences/78835.wav	Thomas nahm zwoelf nasse Sessel.
191.263	1.938	100	191263	olsa: list: 25 / sentence: 20	-5.4	80.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
194.284	2.213	69	194284	olsa: list: 21 / sentence: 9	-7.0	60.0	olsa/sentences/89364.wav	Doris malt acht teure Dosen.
197.699	2.052	16	197699	olsa: list: 5 / sentence: 16	-10.0	20.0	olsa/sentences/00456.wav	Peter bekommt vier gruene Messer.
200.788	2.549	92	200788	olsa: list: 25 / sentence: 12	-5.4	80.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
204.528	2.145	55	204528	olsa: list: 14 / sentence: 15	-7.7	50.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
207.711	2.002	4	207711	olsa: list: 5 / sentence: 4	-10.0	20.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
